Date,account_entry,Particulars,Vch  Type,Vch  No.,Debit,Credit
2017-05-03,Dr,Salary  Payable,Payment,79.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,80.0,0.0,31200.0
2017-05-03,Dr,Salary  Payable,Payment,81.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,82.0,0.0,8438.0
2017-05-03,Dr,Salary  Payable,Payment,83.0,0.0,16656.0
2017-05-03,Dr,Salary  Payable,Payment,84.0,0.0,16656.0
2017-05-03,Dr,Salary  Payable,Payment,85.0,0.0,8397.0
2017-05-03,Dr,Salary  Payable,Payment,86.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,87.0,0.0,19468.0
2017-05-03,Dr,Salary  Payable,Payment,88.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,89.0,0.0,33654.0
2017-05-03,Dr,Salary  Payable,Payment,90.0,0.0,27033.0
2017-05-03,Dr,Salary  Payable,Payment,91.0,0.0,6468.0
2017-05-03,Dr,Salary  Payable,Payment,92.0,0.0,10995.0
2017-05-03,Dr,Salary  Payable,Payment,93.0,0.0,6468.0
2017-05-03,Dr,Salary  Payable,Payment,94.0,0.0,6468.0
2017-05-03,Dr,Salary  Payable,Payment,95.0,0.0,6468.0
2017-05-03,Dr,Salary  Payable,Payment,96.0,0.0,16656.0
2017-05-03,Dr,Salary  Payable,Payment,97.0,0.0,6468.0
2017-05-03,Dr,Salary  Payable,Payment,98.0,0.0,6468.0
2017-05-03,Dr,Salary  Payable,Payment,99.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,100.0,0.0,6468.0
2017-05-03,Dr,Salary  Payable,Payment,101.0,0.0,6468.0
2017-05-03,Dr,Salary  Payable,Payment,102.0,0.0,7150.0
2017-05-03,Dr,Salary  Payable,Payment,103.0,0.0,5821.0
2017-05-03,Dr,Salary  Payable,Payment,104.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,105.0,0.0,10005.0
2017-05-03,Dr,Salary  Payable,Payment,106.0,0.0,2371.0
2017-05-03,Dr,Salary  Payable,Payment,107.0,0.0,3018.0
2017-05-03,Dr,Salary  Payable,Payment,108.0,0.0,6468.0
2017-05-03,Dr,Salary  Payable,Payment,109.0,0.0,6468.0
2017-05-03,Dr,Salary  Payable,Payment,110.0,0.0,6468.0
2017-05-05,Cr,Collabera  Technologies  Private  Limited,Receipt,18.0,158215.0,0.0
2017-05-05,Dr,Samruddhi  Facility  Management  &  Services,Payment,111.0,0.0,11138.0
2017-05-05,Dr,S.K.  Force,Payment,112.0,0.0,13800.0
2017-05-08,Dr,Apartment  EMI,Payment,113.0,0.0,35000.0
2017-05-08,Dr,General  Drawings,Payment,114.0,0.0,20000.0
2017-05-09,Cr,MetricStream  Infotech  (India)  Pvt  Ltd.,Receipt,19.0,5670.0,0.0
2017-05-09,Cr,M/s.  Think  N  Solutions  Pvt  Ltd.,Receipt,20.0,22500.0,0.0
2017-05-12,Cr,Data  Semantics  Private  Limited,Receipt,21.0,200000.0,0.0
2017-05-12,Cr,D  Cube  Analytics  Private  Limited,Receipt,22.0,51750.0,0.0
2017-05-12,Dr,Employee  Contribution  to  Provident  Fund,Payment,115.0,0.0,221077.0
2017-05-15,Cr,M/s.Analytics  Quotient  Services  India  Pvt  Ltd.,Receipt,23.0,129363.0,0.0
2017-05-15,Cr,Continuserve  Softech  India  Pvt  Ltd,Receipt,24.0,49500.0,0.0
2017-05-15,Cr,Fintellix  Solutions  Pvt.  Ltd  (Formerly  ICreate)_x000D_ 
,Receipt,25.0,865337.0,0.0
2017-05-15,Dr,TDS  on  Salary  (192),Payment,116.0,0.0,46371.0
2017-05-15,Dr,Credit  Card  Payout,Payment,117.0,0.0,45000.0
2017-05-16,Dr,General  Drawings,Payment,118.0,0.0,30000.0
2017-05-16,Dr,VIJAYALAKSHMI  H  M  -  Rent  A/c,Payment,119.0,0.0,56422.0
2017-05-16,Dr,Employee  Contribution  to  ESI,Payment,120.0,0.0,34752.0
2017-05-16,Dr,Electricity  /  Water  &  Utility  Charges,Payment,121.0,0.0,6216.0
2017-05-18,Cr,Xerox  Business  Services  India  Private  Limited,Receipt,26.0,112499.0,0.0
2017-05-18,Dr,Office  Expenses,Payment,122.0,0.0,25000.0
2017-05-19,Dr,Intsol  Consultants  Private  Limited_x000D,Payment,123.0,0.0,67275.0
2017-05-19,Dr,Electricity  /  Water  &  Utility  Charges,Payment,124.0,0.0,398.0
2017-05-20,Dr,Credit  Card  Payout,Payment,125.0,0.0,35000.0
2017-05-22,Cr,Covalense  Technologies,Receipt,27.0,199500.0,0.0
2017-05-22,Cr,NDVOR  IT  SOLUTIONS  PRIVATE  LIMITED,Receipt,28.0,35869.0,0.0
2017-05-22,Dr,Office  Expenses,Payment,126.0,0.0,15000.0
2017-05-22,Dr,Telephone  and  Internet  Expenses,Payment,127.0,0.0,1087.0
2017-05-23,Cr,MetricStream  Infotech  (India)  Pvt  Ltd.,Receipt,29.0,79385.0,0.0
2017-05-24,Cr,INTSOL  CONSULTANTS  PRIVATE  LIMITED,Receipt,30.0,84000.0,0.0
2017-05-25,Cr,General  Drawings,Receipt,31.0,65000.0,0.0
2017-05-25,Dr,General  Drawings,Payment,128.0,0.0,30000.0
2017-05-25,Dr,Credit  Card  Payout,Payment,129.0,0.0,35000.0
2017-05-25,Dr,General  Drawings,Payment,130.0,0.0,65000.0
2017-05-29,Cr,General  Drawings,Receipt,32.0,65000.0,0.0
2017-05-29,Dr,Apartment  EMI,Payment,131.0,0.0,60000.0
2017-05-29,Dr,General  Drawings,Payment,132.0,0.0,65000.0
2017-05-30,Dr,General  Drawings,Payment,133.0,0.0,40000.0
2017-05-31,Dr,General  Drawings,Payment,134.0,0.0,40000.0
2017-05-31,Dr,Subscription  Charges,Payment,135.0,0.0,250.0
2017-06-01,Cr,RPS  Consulting  Private  Limited,Receipt,33.0,9702.0,0.0
2017-06-01,Dr,Unsecured  Kotak  Loan,Payment,136.0,0.0,75613.0
2017-06-01,Dr,General  Drawings,Payment,137.0,0.0,40000.0
2017-06-01,Dr,General  Drawings,Payment,138.0,0.0,40000.0
2017-06-02,Cr,M/s.Analytics  Quotient  Services  India  Pvt  Ltd.,Receipt,34.0,210648.0,0.0
2017-06-03,Dr,Travelling  Expenses,Payment,139.0,0.0,170000.0
2017-06-03,Dr,Salary  Payable,Payment,140.0,0.0,1568909.84
2017-06-03,Dr,Apartment  EMI,Payment,141.0,0.0,30000.0
2017-06-05,Dr,Travelling  Expenses,Payment,142.0,0.0,15000.0
2017-06-05,Cr,AXA  Business  Services  Pvt  Ltd_x000D_ 
,Receipt,35.0,97917.0,0.0
2017-06-07,Dr,General  Drawings,Payment,143.0,0.0,30000.0
2017-06-07,Dr,Samruddhi  Facility  Management  &  Services,Payment,144.0,0.0,11138.0
2017-06-07,Dr,S.K.  Force,Payment,145.0,0.0,13800.0
2017-06-07,Dr,Professional  Tax,Payment,146.0,0.0,44966.0
2017-06-07,Dr,Travelling  Expenses,Payment,147.0,0.0,20866.0
2017-06-09,Cr,Fintellix  Solutions  Pvt.  Ltd  (Formerly  Icreate)_x000D,Receipt,36.0,775125.0,0.0
2017-06-09,Cr,Collabera  Technologies  Private  Limited,Receipt,37.0,316431.0,0.0
2017-06-09,Dr,L  Guru  Prasad,Payment,148.0,0.0,64350.0
2017-06-09,Dr,Shravan  M,Payment,149.0,0.0,71725.0
2017-06-09,Dr,Apartment  EMI,Payment,150.0,0.0,30000.0
2017-06-13,Cr,M/s.  Think  N  Solutions  Pvt  Ltd.,Receipt,38.0,40500.0,0.0
2017-06-14,Dr,Credit  Card  Payout,Payment,151.0,0.0,45000.0
2017-06-14,Dr,First  Advantage,Payment,152.0,0.0,12380.0
2017-06-14,Dr,Employee  Contribution  to  Provident  Fund,Payment,153.0,0.0,231050.0
2017-06-15,Cr,NDVOR  IT  SOLUTIONS  PRIVATE  LIMITED,Receipt,39.0,40266.0,0.0
2017-06-15,Cr,MetricStream  Infotech  (India)  Pvt  Ltd.,Receipt,40.0,34800.0,0.0
2017-06-15,Dr,Electricity  /  Water  &  Utility  Charges,Payment,154.0,0.0,7377.0
2017-06-19,Cr,BOSE  Software  Services  Private  Limited,Receipt,41.0,187500.0,0.0
2017-06-20,Dr,General  Drawings,Payment,155.0,0.0,45000.0
2017-06-20,Dr,VIJAYALAKSHMI  H  M  -  Rent  A/c,Payment,156.0,0.0,59244.0
2017-06-20,Dr,Employee  Contribution  to  ESI,Payment,157.0,0.0,40005.0
2017-06-20,Dr,Electricity  /  Water  &  Utility  Charges,Payment,158.0,0.0,1115.0
2017-06-21,Cr,INTSOL  CONSULTANTS  PRIVATE  LIMITED,Receipt,42.0,42000.0,0.0
2017-06-25,Dr,Telephone  and  Internet  Expenses,Payment,159.0,0.0,1087.0
2017-06-30,Cr,Compassites  Software  Solutions  Pvt  Ltd.,Receipt,43.0,140417.0,0.0
2017-06-30,Cr,Sapiens  Technologies  (1982)  India  Pvt  Ltd  (BLR),Receipt,44.0,150429.0,0.0
2017-06-30,Cr,IMS  Health,Receipt,45.0,117000.0,0.0
2017-06-30,Cr,MetricStream  Infotech  (India)  Pvt  Ltd.,Receipt,46.0,42000.0,0.0
2017-07-01,Dr,Unsecured  Kotak  Loan,Payment,160.0,0.0,75613.0
2017-07-03,Dr,Apartment  EMI,Payment,161.0,0.0,25000.0
2017-07-03,Dr,Computers,Payment,162.0,0.0,45000.0
2017-07-03,Dr,Office  Expenses,Payment,163.0,0.0,20000.0
2017-07-03,Dr,Info  Edge  (India)  Ltd,Payment,164.0,0.0,24937.0
2017-07-03,Dr,Salary  Payable,Payment,165.0,0.0,4553.0
2017-07-03,Dr,Salary  Payable,Payment,166.0,0.0,2529.0
2017-07-03,Dr,Salary  Payable,Payment,167.0,0.0,35200.0
2017-07-03,Dr,Salary  Payable,Payment,168.0,0.0,16656.0
2017-07-03,Dr,Salary  Payable,Payment,169.0,0.0,21200.0
2017-07-03,Dr,Salary  Payable,Payment,170.0,0.0,29700.0
2017-07-03,Dr,Salary  Payable,Payment,171.0,0.0,19094.0
2017-07-03,Dr,Salary  Payable,Payment,172.0,0.0,31200.0
2017-07-03,Dr,Salary  Payable,Payment,173.0,0.0,76294.0
2017-07-03,Dr,Salary  Payable,Payment,174.0,0.0,93847.0
2017-07-03,Dr,Salary  Payable,Payment,175.0,0.0,129372.0
2017-07-03,Dr,Salary  Payable,Payment,176.0,0.0,21200.0
2017-07-03,Dr,Salary  Payable,Payment,177.0,0.0,21200.0
2017-07-03,Dr,Salary  Payable,Payment,178.0,0.0,19468.0
2017-07-03,Dr,Salary  Payable,Payment,179.0,0.0,19468.0
2017-07-03,Dr,Salary  Payable,Payment,180.0,0.0,16656.0
2017-07-03,Dr,Salary  Payable,Payment,181.0,0.0,7590.0
2017-07-03,Dr,Salary  Payable,Payment,182.0,0.0,7590.0
2017-07-03,Dr,Salary  Payable,Payment,183.0,0.0,2276.0
2017-07-03,Dr,Salary  Payable,Payment,184.0,0.0,7590.0
2017-07-03,Dr,Salary  Payable,Payment,185.0,0.0,18282.0
2017-07-03,Dr,Salary  Payable,Payment,186.0,0.0,13812.0
2017-07-03,Dr,Salary  Payable,Payment,187.0,0.0,7590.0
2017-07-03,Dr,Salary  Payable,Payment,188.0,0.0,7731.0
2017-07-03,Dr,Salary  Payable,Payment,189.0,0.0,33223.0
2017-07-03,Dr,Salary  Payable,Payment,190.0,0.0,7590.0
2017-07-03,Dr,Salary  Payable,Payment,191.0,0.0,7590.0
2017-07-03,Dr,Salary  Payable,Payment,192.0,0.0,22200.0
2017-07-03,Dr,Salary  Payable,Payment,193.0,0.0,21200.0
2017-07-03,Dr,Salary  Payable,Payment,194.0,0.0,13812.0
2017-07-03,Dr,Salary  Payable,Payment,195.0,0.0,19468.0
2017-07-03,Dr,Salary  Payable,Payment,196.0,0.0,10807.0
2017-07-03,Dr,Salary  Payable,Payment,197.0,0.0,16656.0
2017-07-03,Dr,Salary  Payable,Payment,198.0,0.0,18351.0
2017-07-03,Dr,Salary  Payable,Payment,199.0,0.0,1265.0
2017-07-03,Dr,Salary  Payable,Payment,200.0,0.0,13812.0
2017-07-03,Dr,Salary  Payable,Payment,201.0,0.0,7590.0
2017-07-03,Dr,Salary  Payable,Payment,202.0,0.0,13812.0
2017-07-03,Dr,Salary  Payable,Payment,203.0,0.0,26200.0
2017-07-03,Dr,Salary  Payable,Payment,204.0,0.0,31200.0
2017-07-03,Dr,Salary  Payable,Payment,205.0,0.0,21200.0
2017-07-03,Dr,Salary  Payable,Payment,206.0,0.0,20794.0
2017-07-03,Dr,Salary  Payable,Payment,207.0,0.0,21200.0
2017-07-03,Dr,Salary  Payable,Payment,208.0,0.0,13812.0
2017-07-03,Dr,Salary  Payable,Payment,209.0,0.0,61909.0
2017-07-03,Dr,Salary  Payable,Payment,210.0,0.0,13812.0
2017-07-03,Dr,Salary  Payable,Payment,211.0,0.0,21200.0
2017-07-03,Dr,Salary  Payable,Payment,212.0,0.0,19468.0
2017-07-03,Dr,Salary  Payable,Payment,213.0,0.0,19468.0
2017-07-03,Dr,Salary  Payable,Payment,214.0,0.0,36200.0
2017-07-03,Dr,Salary  Payable,Payment,215.0,0.0,9373.0
2017-07-03,Dr,Salary  Payable,Payment,216.0,0.0,27033.0
2017-07-03,Dr,Salary  Payable,Payment,217.0,0.0,7590.0
2017-07-03,Dr,Salary  Payable,Payment,218.0,0.0,7590.0
2017-07-03,Dr,Salary  Payable,Payment,219.0,0.0,7590.0
2017-07-03,Dr,Salary  Payable,Payment,220.0,0.0,3795.0
2017-07-03,Dr,Salary  Payable,Payment,221.0,0.0,5060.0
2017-07-03,Dr,Salary  Payable,Payment,222.0,0.0,10158.0
2017-07-03,Dr,Salary  Payable,Payment,223.0,0.0,13812.0
2017-07-03,Dr,Salary  Payable,Payment,224.0,0.0,22200.0
2017-07-03,Dr,Salary  Payable,Payment,225.0,0.0,31097.0
2017-07-03,Dr,Salary  Payable,Payment,226.0,0.0,29533.0
2017-07-03,Dr,Salary  Payable,Payment,227.0,0.0,16656.0
2017-07-03,Dr,Salary  Payable,Payment,228.0,0.0,26200.0
2017-07-03,Dr,Salary  Payable,Payment,229.0,0.0,7590.0
2017-07-03,Dr,Salary  Payable,Payment,230.0,0.0,13812.0
2017-07-03,Dr,Salary  Payable,Payment,231.0,0.0,7590.0
2017-07-03,Dr,Salary  Payable,Payment,232.0,0.0,13474.0
2017-07-03,Dr,Salary  Payable,Payment,233.0,0.0,7590.0
2017-07-03,Dr,Salary  Payable,Payment,234.0,0.0,6324.0
2017-07-03,Dr,Salary  Payable,Payment,235.0,0.0,10158.0
2017-07-03,Dr,Salary  Payable,Payment,236.0,0.0,6679.0
2017-07-03,Dr,Salary  Payable,Payment,237.0,0.0,13812.0
2017-07-03,Dr,Salary  Payable,Payment,238.0,0.0,13812.0
2017-07-03,Dr,Salary  Payable,Payment,239.0,0.0,18282.0
2017-07-03,Dr,Salary  Payable,Payment,240.0,0.0,24859.0
2017-07-03,Dr,Salary  Payable,Payment,241.0,0.0,18282.0
2017-07-03,Dr,Salary  Payable,Payment,242.0,0.0,20794.0
2017-07-03,Dr,Salary  Payable,Payment,243.0,0.0,13812.0
2017-07-03,Dr,Salary  Payable,Payment,244.0,0.0,13812.0
2017-07-05,Cr,D  Cube  Analytics  Private  Limited,Receipt,47.0,51750.0,0.0
2017-07-06,Dr,March31st  Consulting  LLP,Payment,245.0,0.0,63000.0
2017-07-06,Dr,TDS  on  Salary  (192),Payment,246.0,0.0,95755.0
2017-07-06,Dr,General  Drawings,Payment,247.0,0.0,50000.0
2017-07-06,Dr,Salary  Payable,Payment,248.0,0.0,26200.0
2017-07-06,Dr,Salary  Payable,Payment,249.0,0.0,9820.0
2017-07-06,Dr,Salary  Payable,Payment,250.0,0.0,25290.0
2017-07-07,Cr,M/s.  Think  N  Solutions  Pvt  Ltd.,Receipt,48.0,39825.0,0.0
2017-07-07,Cr,MetricStream  Infotech  (India)  Pvt  Ltd.,Receipt,49.0,77225.0,0.0
2017-07-07,Cr,M/s.Analytics  Quotient  Services  India  Pvt  Ltd.,Receipt,50.0,54350.0,0.0
2017-07-10,Dr,Employers  Contribution  to  ESI  (Including  Admin),Payment,251.0,0.0,41983.0
2017-07-10,Dr,Employee  Contribution  to  Provident  Fund,Payment,252.0,0.0,235036.0
2017-07-11,Cr,NDVOR  IT  SOLUTIONS  PRIVATE  LIMITED,Receipt,51.0,43043.0,0.0
2017-07-14,Dr,Apartment  EMI,Payment,253.0,0.0,3000.0
2017-07-14,Dr,Samruddhi  Facility  Management  &  Services,Payment,254.0,0.0,10395.0
2017-07-15,Dr,Telephone  and  Internet  Expenses,Payment,255.0,0.0,2457.0
2017-07-16,Dr,Electricity  /  Water  &  Utility  Charges,Payment,256.0,0.0,3960.0
2017-07-17,Cr,Fintellix  Solutions  Pvt.  Ltd  (Formerly  Icreate)_x000D,Receipt,52.0,907667.0,0.0
2017-07-17,Dr,S  S  Interiors,Payment,257.0,0.0,120529.0
2017-07-17,Dr,Apartment  EMI,Payment,258.0,0.0,27000.0
2017-07-19,Dr,Telephone  and  Internet  Expenses,Payment,259.0,0.0,366.0
2017-07-19,Dr,Telephone  and  Internet  Expenses,Payment,260.0,0.0,905.0
2017-07-20,Cr,Keystone  logic    A  division  of  Zensar  technologies  Ltd.,Receipt,53.0,58500.0,0.0
2017-07-21,Cr,Collabera  Technologies  Private  Limited,Receipt,54.0,55841.0,0.0
2017-07-21,Dr,S.K.  Force,Payment,261.0,0.0,13800.0
2017-07-24,Dr,Salary  Payable,Payment,262.0,0.0,16125.0
2017-07-27,Cr,M/s.Analytics  Quotient  Services  India  Pvt  Ltd.,Receipt,55.0,87000.0,0.0
2017-07-28,Cr,MetricStream  Infotech  (India)  Pvt  Ltd.,Receipt,56.0,7650.0,0.0
2017-07-31,Cr,Data  Semantics  Private  Limited,Receipt,57.0,200000.0,0.0
2017-07-31,Dr,Interest  on  Overdraft,Payment,263.0,0.0,2587.0
2017-07-31,Dr,Credit  Card  Payout,Payment,264.0,0.0,55000.0
2017-07-31,Dr,General  Drawings,Payment,265.0,0.0,125000.0
2017-08-01,Dr,Unsecured  Kotak  Loan,Payment,266.0,0.0,75613.0
2017-08-03,Cr,COOKIE  ANALYTIX  PRIVATE  LIMITED,Receipt,58.0,153210.0,0.0
2017-08-03,Dr,Salary  Payable,Payment,267.0,0.0,16398.0
2017-08-03,Dr,Salary  Payable,Payment,268.0,0.0,31097.0
2017-08-03,Dr,Salary  Payable,Payment,269.0,0.0,93847.0
2017-08-03,Dr,Salary  Payable,Payment,270.0,0.0,26200.0
2017-08-03,Dr,Salary  Payable,Payment,271.0,0.0,21200.0
2017-08-03,Dr,Salary  Payable,Payment,272.0,0.0,21200.0
2017-08-03,Dr,Salary  Payable,Payment,273.0,0.0,26200.0
2017-08-03,Dr,Salary  Payable,Payment,274.0,0.0,19468.0
2017-08-03,Dr,Salary  Payable,Payment,275.0,0.0,13429.0
2017-08-03,Dr,Salary  Payable,Payment,276.0,0.0,26200.0
2017-08-03,Dr,Salary  Payable,Payment,277.0,0.0,26200.0
2017-08-03,Dr,Salary  Payable,Payment,278.0,0.0,16656.0
2017-08-03,Dr,Salary  Payable,Payment,279.0,0.0,21200.0
2017-08-03,Dr,Salary  Payable,Payment,280.0,0.0,36200.0
2017-08-03,Dr,Salary  Payable,Payment,281.0,0.0,13812.0
2017-08-03,Dr,Salary  Payable,Payment,282.0,0.0,19468.0
2017-08-03,Dr,Salary  Payable,Payment,283.0,0.0,13812.0
2017-08-03,Dr,Salary  Payable,Payment,284.0,0.0,19468.0
2017-08-03,Dr,Salary  Payable,Payment,285.0,0.0,8713.0
2017-08-03,Dr,Salary  Payable,Payment,286.0,0.0,16656.0
2017-08-03,Dr,Salary  Payable,Payment,287.0,0.0,19468.0
2017-08-03,Dr,Salary  Payable,Payment,288.0,0.0,19468.0
